name,x position,y position,z position,Elbow_Angle,Humeral_pro/ret,Humeral_ele/dep
atlas,21.228605,4.808067,14.219068,71.97482117,95.77653578,52.58477946
atlas,21.203922,4.831169,14.245095,74.30083252,98.03535487,59.1773259
atlas,21.18132,4.850692,14.276389,75.46086715,97.4268565,57.95084974
atlas,21.184144,4.917744,14.202661,75.43682059,100.2295207,55.31101611
atlas,21.157561,4.945573,14.229564,75.36117086,100.1724331,57.74410846
atlas,21.140373,4.987022,14.223836,75.67962124,100.0258749,57.0331765
atlas,21.10879,5.060697,14.198171,74.88975794,100.0721336,58.63909677
atlas,21.115218,5.037057,14.202044,75.81555871,97.08128839,55.54644046
atlas,21.09323,5.075927,14.186247,76.19081757,100.431365,58.96133289
atlas,21.06432,5.097712,14.204461,76.42696834,95.44287174,58.3365439
atlas,21.045131,5.137936,14.204346,77.78492125,101.1893133,62.05338137
atlas,21.021341,5.188856,14.158243,79.13637193,99.63658115,59.99302447
atlas,20.992621,5.233063,14.165352,79.7871106,97.26059797,62.17061948
atlas,20.992877,5.280939,14.101445,82.11587155,101.8285645,63.53524128
atlas,20.956316,5.31897,14.085568,80.7463638,104.4383476,64.32510144
atlas,20.925683,5.341908,14.099755,81.18737934,99.58571239,63.77713079
atlas,20.867881,5.368149,14.150757,81.89958791,96.83413905,63.40884163
atlas,20.826368,5.429367,14.097322,82.19532004,98.52635561,62.11209579
atlas,20.787331,5.493688,14.047545,82.27822976,97.18080014,60.74805141
atlas,20.741189,5.601267,13.973801,83.6402101,101.9609331,61.26772135
atlas,20.710246,5.627375,13.979714,85.18507393,105.0879032,64.39717841
atlas,20.679897,5.629896,14.015413,85.43238946,98.77421588,59.60121311
atlas,20.623645,5.691557,14.015359,87.30453585,92.8240509,60.73765414
atlas,20.590045,5.728166,14.001965,89.76278874,103.1232963,61.18296486
atlas,20.551344,5.7571,14.020324,90.17872846,94.77523589,61.22025539
atlas,20.523041,5.800971,13.99526,92.17226122,96.35585055,59.60871309
atlas,20.452409,5.859118,13.98315,90.37321838,96.91396282,62.26784861
atlas,20.391607,5.911183,13.990849,88.59408788,93.86811318,63.31165521
atlas,20.366671,5.991489,13.950864,95.18430408,96.31828289,65.8051789
atlas,20.312796,6.052372,13.964019,95.76910077,90.00835783,60.45485884
atlas,20.25437,6.107897,13.956518,95.57813914,95.26058905,61.51191539
atlas,20.19782,6.178294,13.919699,96.808961,96.03910529,63.10006125
atlas,20.132743,6.247221,13.894413,98.60529436,92.39080429,65.76788492
atlas,20.057809,6.322172,13.846797,98.73663987,93.21448934,66.06028181
atlas,20.000971,6.387606,13.778388,100.2517206,98.07369219,64.58977069
atlas,19.915106,6.385218,13.88662,99.71869888,86.09933841,61.29251328
atlas,19.857711,6.445345,13.888858,101.7999842,82.91705218,63.83501774
atlas,19.776214,6.534414,13.879652,103.3153527,85.90813944,65.835508
atlas,19.717513,6.618877,13.810547,105.6321631,90.59012472,64.59781351
atlas,19.644943,6.680332,13.806437,109.6632036,92.2711815,68.88664219
atlas,19.544252,6.783084,13.715582,108.0568219,100.5951925,70.98207717
atlas,19.469432,6.851232,13.733915,108.6631601,94.85106411,65.13185522
atlas,19.381105,6.896581,13.742814,110.0845611,88.63068596,66.77848176
atlas,19.308466,6.948264,13.722776,108.6613595,92.2864653,66.71105127
atlas,19.227252,7.003027,13.691065,109.6406701,100.0515595,72.49538191
atlas,19.081974,7.140258,13.640706,109.5138772,101.8176374,70.11909247
atlas,18.989944,7.170296,13.681001,107.9244155,96.59502756,67.72576927
atlas,18.879497,7.22266,13.673303,104.1769813,95.87122993,66.02850051
atlas,18.740066,7.272264,13.701942,105.865808,90.82879706,66.94396237
atlas,18.605011,7.364055,13.665115,102.8621422,100.9001994,68.85801449
atlas,18.500557,7.451039,13.606345,101.7302269,94.91248761,67.91289857
atlas,18.368895,7.510836,13.648241,101.8214083,99.17414466,68.19648307
atlas,18.241376,7.584897,13.650099,98.47765198,98.67678902,66.24909843
atlas,18.100595,7.691057,13.584384,94.66148093,97.25104229,64.40502856
atlas,17.953449,7.780232,13.536202,90.26335472,98.77825136,63.68037158
atlas,17.800804,7.819345,13.546902,87.66291054,99.94993822,67.07217203
atlas,17.682684,7.887292,13.524854,87.91469061,100.0914228,65.15254383
atlas,17.507478,8.020554,13.441529,84.56716181,105.0243466,66.2759869
atlas,17.343051,8.070099,13.506263,82.80307995,101.0308736,65.03588656
atlas,17.18884,8.144267,13.453475,80.78324933,106.8416772,63.12755511
atlas,17.007594,8.137567,13.565022,76.5311433,93.62694998,58.41964571
atlas,16.835792,8.253122,13.504657,75.53813522,98.30760316,57.69663634
atlas,16.674586,8.281762,13.553453,75.02153106,89.95404911,56.23432882
atlas,16.531588,8.36582,13.494233,76.16239579,100.01396,59.36040949
atlas,16.314001,8.52184,13.373708,74.23954037,108.099184,60.77031737
