timing,foreaft, lateral,normal
1,-0.05824,0.07336,-0.13012
2,-0.06508,0.06615,-0.14663
3,-0.08214,0.06754,-0.15747
4,-0.09596,0.04878,-0.15424
5,-0.10452,0.05636,-0.14191
6,-0.07501,0.07749,-0.13027
7,-0.09712,0.07187,-0.13795
8,-0.08658,0.08545,-0.13674
9,-0.10166,0.07856,-0.1203
10,-0.10498,0.0557,-0.14315
11,-0.08816,0.05934,-0.12656
12,-0.09187,0.03816,-0.13828
13,-0.08057,0.0653,-0.13774
14,-0.0684,0.06101,-0.11666
15,-0.07528,0.04429,-0.13353
16,-0.12339,0.05963,-0.12846
17,-0.08252,0.06016,-0.13577
18,-0.10591,0.05985,-0.14884
19,-0.10649,0.03903,-0.13584
20,-0.08102,0.05727,-0.16422
21,-0.13395,0.04446,-0.11564
22,-0.11183,0.02702,-0.13702
23,-0.14195,0.10037,-0.15378
24,-0.14932,0.03775,-0.09914
25,-0.15991,0.04686,-0.12749
26,-0.14056,0.03492,-0.09683
27,-0.12263,0.02062,-0.11622
28,-0.13484,0.04594,-0.09749
29,-0.10692,0.04531,-0.12557
30,-0.10128,0.06138,-0.13829
31,-0.11919,0.05909,-0.13848
32,-0.12003,0.05135,-0.14467
33,-0.12068,0.04441,-0.13759
34,-0.11741,0.0217,-0.14093
35,-0.13455,0.07201,-0.13956
36,-0.12969,0.08752,-0.12925
37,-0.14664,0.0693,-0.12674
38,-0.11056,0.04974,-0.14072
39,-0.14166,0.04999,-0.14529
40,-0.14894,0.07177,-0.13684
41,-0.13838,0.04454,-0.13632
42,-0.12311,0.03224,-0.13846
43,-0.14337,0.04934,-0.14019
44,-0.14893,0.04014,-0.14253
45,-0.14273,0.05863,-0.13057
46,-0.13909,0.05565,-0.14615
47,-0.10742,0.0632,-0.14626
48,-0.13371,0.07225,-0.14296
49,-0.14398,0.07565,-0.15496
50,-0.13819,0.04763,-0.12352
51,-0.15203,0.05493,-0.14686
52,-0.14058,0.062,-0.14226
53,-0.16214,0.05718,-0.15047
54,-0.13899,0.08905,-0.15407
55,-0.12944,0.05361,-0.14749
56,-0.14453,0.07395,-0.13042
57,-0.14412,0.05423,-0.14364
58,-0.11693,0.0571,-0.14155
59,-0.13646,0.07174,-0.13334
60,-0.12969,0.03442,-0.11989
61,-0.15004,0.06869,-0.13306
62,-0.15231,0.03319,-0.14755
63,-0.13298,0.06336,-0.13418
64,-0.15303,0.05235,-0.13445
65,-0.14434,0.07749,-0.1245
66,-0.14276,0.04757,-0.12824
67,-0.12705,0.07218,-0.12979
68,-0.15622,0.06843,-0.13599
69,-0.1483,0.0388,-0.14248
70,-0.13786,0.06043,-0.13101
71,-0.11958,0.05551,-0.14034
72,-0.16178,0.06704,-0.12925
73,-0.13723,0.03657,-0.13578
74,-0.15538,0.07205,-0.12201
75,-0.1405,0.05935,-0.12968
76,-0.14474,0.06579,-0.13211
77,-0.15411,0.06262,-0.11793
78,-0.13325,0.07848,-0.12843
79,-0.1522,0.053,-0.12805
80,-0.15166,0.04867,-0.11613
81,-0.1325,0.06214,-0.12559
82,-0.14189,0.06728,-0.1423
83,-0.12427,0.07958,-0.13335
84,-0.16503,0.0494,-0.13571
85,-0.14784,0.05665,-0.13447
86,-0.13011,0.06449,-0.13251
87,-0.15048,0.03618,-0.13347
88,-0.13366,0.05833,-0.13346
89,-0.13271,0.07046,-0.1172
90,-0.15157,0.08651,-0.11386
91,-0.13023,0.0589,-0.1243
92,-0.14982,0.05485,-0.11777
93,-0.10633,0.10626,-0.14166
94,-0.10687,0.06434,-0.1254
95,-0.1361,0.06174,-0.12013
96,-0.10625,0.06826,-0.13277
97,-0.1426,0.08453,-0.13209
98,-0.11151,0.04077,-0.12732
99,-0.12688,0.0909,-0.13301
100,-0.12235,0.0841,-0.14164
101,-0.13816,0.09268,-0.13429
102,-0.13264,0.09554,-0.14431
103,-0.14501,0.06153,-0.14093
104,-0.15828,0.08217,-0.1546
105,-0.14089,0.0576,-0.13779
106,-0.14754,0.08581,-0.12305
107,-0.11863,0.04908,-0.14504
108,-0.14404,0.07328,-0.12866
