Year,Atlas_1,Atlas_2,Atlas_3,Atlas_4,Atlas_5,Atlas_6,Atlas_7,Atlas_8
2,3.962791,4.683589,4.385942,4.862306,4.157626,4.385942,4.434083,5.106376
4,3.977938,4.756214,4.459656,4.886167,4.179444,4.459656,4.433042,5.042256
6,3.996802,4.759733,4.439208,4.92975,4.234337,4.439208,4.506445,5.042114
8,4.008311,4.757321,4.485822,4.93291,4.237244,4.485822,4.543701,5.042256
10,4.015367,4.798036,4.5042,5.00792,4.246596,4.5042,4.57277,5.042075
12,4.026877,4.804264,4.50733,5.021022,4.24486,4.50733,4.590043,5.042256
14,4.048763,4.853572,4.556174,5.082812,4.287453,4.556174,4.661494,5.041259
16,4.090776,4.881238,4.504174,5.091538,4.282061,4.504174,4.688838,5.042256
18,4.104083,4.874146,4.549024,5.153729,4.29803,4.549024,4.759392,5.042256
20,4.127288,4.931849,4.611732,5.188333,4.311199,4.611732,4.846561,5.042256
22,4.13717,4.932385,4.644906,5.226479,4.388866,4.644906,4.889097,5.043072
24,4.188369,4.981736,4.702036,5.28811,4.363725,4.702036,4.973008,5.042256
26,4.182483,4.988989,4.743647,5.34646,4.397075,4.743647,5.041825,5.042256
28,4.203378,5.006002,4.811673,5.379138,4.391564,4.811673,5.079566,5.042256
30,4.244838,5.047575,4.817082,5.408316,4.423161,4.817082,5.191758,5.042256
32,4.2928,5.074592,4.857394,5.464766,4.502783,4.857394,5.348207,5.042256
34,4.291209,5.130577,4.89568,5.512968,4.47682,4.89568,5.396072,5.041734
36,4.326628,5.178028,4.980818,5.553039,4.469311,4.980818,5.520995,5.042549
38,4.338319,5.22759,5.040372,5.614855,4.592436,5.040372,5.595658,5.041734
40,4.380229,5.260461,5.092449,5.68178,4.639969,5.092449,5.70097,5.042691
42,4.393996,5.339774,5.183858,5.744633,4.653444,5.183858,5.766558,5.042691
44,4.424014,5.37103,5.279833,5.787237,4.668919,5.279833,5.901815,5.040356
46,4.485045,5.407161,5.382089,5.864508,4.713017,5.382089,6.053606,5.041314
48,4.53208,5.447547,5.470111,5.879135,4.747908,5.470111,6.150729,5.041274
50,4.539112,5.481176,5.585926,5.947999,4.781575,5.585926,6.286732,5.043189
52,4.537844,5.508226,5.650865,5.98564,4.830461,5.650865,6.414146,5.04315
54,4.564579,5.539086,5.732384,6.05515,4.85724,5.732384,6.55003,5.045114
56,4.604597,5.609686,5.814871,6.180365,4.927846,5.814871,6.682576,5.046555
58,4.653198,5.689495,5.923513,6.199275,4.982128,5.923513,6.835981,5.048479
60,4.689869,5.735406,6.016897,6.259626,5.006024,6.016897,6.948478,5.097796
62,4.650167,5.80932,6.147553,6.348564,5.040764,6.147553,7.051674,5.135568
64,4.69271,5.865092,6.208191,6.416643,5.146112,6.208191,7.262227,5.104335
66,4.752575,5.922104,6.340713,6.480034,5.152698,6.340713,7.385808,5.110821
68,4.798778,5.993987,6.49685,6.560684,5.2228,6.49685,7.579849,5.120264
70,4.846314,6.000535,6.61277,6.603546,5.315501,6.61277,7.714131,5.130212
72,4.871631,6.045095,6.716973,6.676856,5.401009,6.716973,7.828612,5.166089
74,4.910161,6.116114,6.829959,6.729567,5.463017,6.829959,8.0127,5.179411
76,4.940713,6.195239,6.950772,6.847257,5.5395,6.950772,8.210885,5.203037
78,4.983161,6.298816,7.098944,6.943391,5.612353,7.098944,8.344562,5.224204
80,5.009372,6.321162,7.180425,7.073888,5.723188,7.180425,8.506155,5.241916
82,5.035233,6.445043,7.356231,7.108762,5.815968,7.356231,8.666097,5.25724
84,5.055071,6.563969,7.415497,7.201955,5.906555,7.415497,8.894743,5.30248
86,5.064801,6.600682,7.540785,7.251552,5.979067,7.540785,9.088256,5.320771
88,5.100363,6.671941,7.709598,7.367058,6.144378,7.709598,9.185426,5.30244
90,5.152069,6.779607,7.827167,7.43586,6.158029,7.827167,9.351237,5.323024
92,5.1733,6.842777,7.934956,7.528409,6.329946,7.934956,9.545817,5.360725
94,5.206682,6.923202,8.067728,7.613141,6.460257,8.067728,9.728496,5.391894
96,5.209263,7.006182,8.176758,7.764615,6.568853,8.176758,9.83325,5.419606
98,5.250828,7.09585,8.269628,7.841768,6.674479,8.269628,10.015811,5.446824
100,5.287074,7.188102,8.412543,7.906412,6.730369,8.412543,10.177363,5.488079
102,5.330048,7.261263,8.518207,8.011939,6.872756,8.518207,10.331813,5.540441
104,5.371804,7.344804,8.6654,8.111221,7.019858,8.6654,10.475363,5.571252
106,5.401037,7.426602,8.791137,8.165544,7.151213,8.791137,10.594517,5.601056
108,5.427836,7.553404,8.920081,8.264863,7.27635,8.920081,10.708823,5.646794
110,5.470856,7.580413,9.042745,8.310745,7.394267,9.042745,10.880298,5.699445
112,5.505632,7.703815,9.120904,8.438612,7.548108,9.120904,11.062024,5.788839
114,5.542905,7.819298,9.272727,8.47765,7.672545,9.272727,11.140438,5.843793
116,5.605391,7.9337,9.365046,8.603803,7.838899,9.365046,11.317093,5.858888
118,5.658438,8.011756,9.477028,8.666349,7.94658,9.477028,11.422315,5.849295
120,5.707685,8.133777,9.5275,8.771305,8.059562,9.5275,11.526066,5.91298
122,5.751344,8.166637,9.619086,8.856757,8.249262,9.619086,11.657713,5.971246
124,5.752815,8.263436,9.654863,8.844858,8.354431,9.654863,11.754932,6.062155
126,5.814066,8.360001,9.748235,8.932309,8.501493,9.748235,11.835751,6.102987
128,5.865477,8.448911,9.809622,9.03709,8.641722,9.809622,11.916487,6.217643
130,5.897714,8.526354,9.889393,9.056641,8.730773,9.889393,12.057718,6.245844
132,5.935124,8.662643,9.962158,9.110595,8.933327,9.962158,12.077639,6.344092
134,5.987499,8.80372,10.062406,9.189369,9.00025,10.062406,12.196642,6.375347
136,6.067145,8.845749,10.117273,9.247116,9.16696,10.117273,12.252929,6.409644
138,6.087345,8.979728,10.134128,9.319164,9.262253,10.134128,12.319973,6.477629
140,6.107786,9.032049,10.168238,9.308273,9.405098,10.168238,12.457456,6.563125
142,6.170011,9.159663,10.190352,9.393414,9.520849,10.190352,12.54204,6.606531
144,6.234602,9.20696,10.168672,9.464893,9.639182,10.168672,12.592244,6.622753
146,6.316057,9.25961,10.268804,9.487138,9.759732,10.268804,12.678056,6.718438
148,6.342565,9.355716,10.346387,9.602054,9.824261,10.346387,12.746566,6.756093
150,6.415526,9.448968,10.363008,9.580482,10.010469,10.363008,12.841213,6.784193
152,6.468035,9.498413,10.388623,9.567288,10.074201,10.388623,12.856095,6.922027
154,6.536907,9.552457,10.434313,9.636749,10.208569,10.434313,12.861954,6.988267
156,6.604653,9.660215,10.414667,9.650843,10.256857,10.414667,12.931303,7.082302
158,6.630646,9.692383,10.498808,9.620817,10.357257,10.498808,13.004156,7.11096
160,6.718584,9.801668,10.545568,9.637723,10.450598,10.545568,13.034896,7.210026
162,6.782523,9.864281,10.549649,9.693384,10.536872,10.549649,13.033534,7.212002
164,6.823778,9.889735,10.545895,9.765478,10.603473,10.545895,13.084127,7.252529
166,6.873792,9.9368,10.52886,9.732109,10.677461,10.52886,13.189639,7.317441
168,6.978723,10.045576,10.550673,9.708708,10.772357,10.550673,13.194549,7.437608
170,7.062221,10.111615,10.528203,9.774745,10.796988,10.528203,13.229283,7.49919
172,7.094394,10.159994,10.46111,9.694961,10.914511,10.46111,13.190349,7.55158
174,7.167406,10.208666,10.51773,9.712109,10.943565,10.51773,13.254036,7.546063
176,7.248291,10.20584,10.460001,9.687639,11.054251,10.460001,13.214373,7.628942
178,7.313339,10.269201,10.496419,9.671042,11.128352,10.496419,13.24669,7.668759
180,7.381314,10.300767,10.465929,9.648316,11.180335,10.465929,13.222174,7.725509
182,7.444747,10.338621,10.47407,9.607089,11.224958,10.47407,13.242399,7.809546
184,7.524726,10.432459,10.391054,9.650844,11.358706,10.391054,13.286038,7.812132
186,7.655164,10.475679,10.427013,9.584691,11.305052,10.427013,13.201093,7.884006
188,7.65518,10.460501,10.383608,9.513049,11.375649,10.383608,13.214702,7.957474
190,7.758635,10.49319,10.388833,9.559725,11.439053,10.388833,13.267001,7.976878
192,7.838001,10.46614,10.28883,9.508035,11.483169,10.28883,13.266364,8.025266
194,7.897565,10.520305,10.350876,9.431247,11.483653,10.350876,13.198754,8.072305
196,7.964647,10.551677,10.299416,9.313715,11.518138,10.299416,13.149542,8.11047
198,8.035667,10.52766,10.23022,9.190029,11.556567,10.23022,13.095702,8.133878
200,8.100349,10.595248,10.108979,9.222298,11.535724,10.108979,13.029198,8.211053
202,8.177029,10.596068,10.046474,9.166185,11.547954,10.046474,13.034689,8.206594
204,8.242059,10.564542,10.030626,9.151196,11.611525,10.030626,13.001467,8.262217
206,8.325156,10.566471,9.930066,9.046721,11.559651,9.930066,12.956489,8.29313
208,8.401638,10.597712,9.846465,8.968662,11.609571,9.846465,12.891237,8.325552
210,8.489478,10.582081,9.833089,8.900979,11.56564,9.833089,12.8751,8.350945
212,8.577642,10.547578,9.72388,8.803478,11.558462,9.72388,12.810722,8.375578
214,8.614991,10.53533,9.649069,8.674052,11.596622,9.649069,12.751509,8.424792
216,8.667606,10.490538,9.610831,8.584378,11.560828,9.610831,12.68464,8.405463
218,8.754074,10.497049,9.507848,8.513276,11.629498,9.507848,12.61014,8.372108
220,8.840157,10.437957,9.389214,8.409045,11.563182,9.389214,12.570179,8.456134
222,8.894117,10.441898,9.261862,8.298547,11.496431,9.261862,12.460494,8.441515
224,8.964873,10.328168,9.202974,8.143809,11.514429,9.202974,12.394777,8.410619
226,9.068987,10.348544,9.115743,8.048813,11.523937,9.115743,12.301992,8.370773
228,9.129216,10.263798,9.075061,7.948299,11.457069,9.075061,12.250006,8.338161
230,9.133083,10.23466,8.897011,7.861434,11.440894,8.897011,12.150735,8.367716
232,9.169257,10.190168,8.74461,7.708052,11.416421,8.74461,12.083904,8.364897
234,9.23473,10.143623,8.62088,7.63777,11.337863,8.62088,12.027517,8.387489
236,9.28339,10.037672,8.584859,7.455122,11.320559,8.584859,11.913452,8.381326
238,9.338961,9.932357,8.443532,7.350196,11.226268,8.443532,11.776346,8.343742
240,9.391404,9.943206,8.302818,7.187835,11.155911,8.302818,11.704956,8.239617
242,9.38049,9.811547,8.133314,7.016221,11.097504,8.133314,11.583378,8.200235
244,9.491423,9.729447,8.015768,6.937456,11.099121,8.015768,11.489274,8.20818
246,9.521996,9.626536,7.830202,6.798341,11.040865,7.830202,11.345689,8.192885
248,9.544717,9.547413,7.708502,6.637143,10.98433,7.708502,11.302457,8.138724
250,9.600171,9.534172,7.562026,6.482686,10.906579,7.562026,11.210293,8.032562
252,9.615434,9.381179,7.426541,6.313041,10.835754,7.426541,11.042683,7.985941
254,9.661924,9.323815,7.270736,6.17938,10.784996,7.270736,10.938527,8.025304
256,9.682535,9.15619,7.101676,5.948248,10.696368,7.101676,10.818754,7.930128
258,9.63552,9.076248,6.957442,5.817207,10.612251,6.957442,10.678351,7.930722
260,9.693614,8.96518,6.769852,5.674443,10.536956,6.769852,10.531324,7.826878
262,9.665402,8.802118,6.605249,5.473057,10.424146,6.605249,10.359246,7.664823
264,9.673143,8.686053,6.520735,5.295798,10.326821,6.520735,10.219305,7.710576
266,9.70579,8.614971,6.279373,5.149733,10.266426,6.279373,10.102854,7.625265
268,9.759478,8.546302,6.105608,5.03845,10.133036,6.105608,9.964676,7.489719
270,9.761622,8.374392,5.997521,4.863746,9.989879,5.997521,9.878444,7.369468
272,9.731645,8.250206,5.866426,4.649497,9.929521,5.866426,9.698985,7.346265
274,9.692915,8.077999,5.707058,4.492254,9.796823,5.707058,9.536297,7.249313
276,9.703062,7.915461,5.626279,4.441247,9.744642,5.626279,9.352452,7.158246
